,county,median_family,median_household,n_households,per_capita,population,state
2444,Mineral,"$48,910","$31,163","11,180","$19,788","28,015",West Virginia
2445,Spalding,"$50,251","$41,534","22,997","$19,783","64,011",Georgia
2446,Houghton,"$52,409","$35,430","14,029","$19,783","36,494",Michigan
2447,Graham,"$39,580","$33,903","3,462","$19,780","8,762",North Carolina
2448,Starke,"$46,205","$40,126","8,964","$19,773","23,267",Indiana
2449,Christian,"$45,583","$38,904","25,899","$19,773","74,169",Kentucky
2450,Moore,"$53,653","$51,181","6,820","$19,770","22,029",Texas
2451,Ashley,"$45,612","$35,683","8,656","$19,761","21,645",Arkansas
2452,Lenoir,"$45,306","$35,770","23,569","$19,760","59,277",North Carolina
2453,Okmulgee,"$48,720","$39,156","15,124","$19,753","39,747",Oklahoma
2454,Dallam,"$44,301","$40,895","2,375","$19,752","6,854",Texas
2455,Coal,"$44,888","$34,867","2,328","$19,752","5,927",Oklahoma
2456,Barren,"$51,272","$38,873","16,584","$19,745","42,504",Kentucky
2457,McMinn,"$48,576","$39,410","20,313","$19,744","52,338",Tennessee
2458,Liberty,"$54,581","$47,228","24,844","$19,740","76,013",Texas
2459,Grant,"$52,848","$45,949","30,012","$19,738","90,202",Washington
2460,Powell,"$49,342","$40,802","2,411","$19,736","7,052",Montana
2461,Forrest,"$46,827","$36,726","27,822","$19,736","75,991",Mississippi
2462,Russell,"$43,459","$33,872","11,191","$19,735","28,646",Virginia
2463,Vernon,"$48,014","$38,679","7,999","$19,734","20,990",Missouri
2464,Yukon-Koyukuk Census Area,"$46,875","$34,710","2,056","$19,729","5,656",Alaska
2465,Saluda,"$44,705","$38,514","7,020","$19,725","19,895",South Carolina
2466,Alger,"$46,083","$37,586","3,607","$19,717","9,497",Michigan
2467,Benton,"$42,896","$32,951","8,225","$19,717","19,008",Missouri
2468,Perry,"$53,689","$42,078","7,982","$19,716","22,182",Illinois
2469,Pike,"$46,574","$33,090","12,959","$19,715","32,977",Alabama
2470,Emporia City,"$41,429","$32,155","2,488","$19,710","5,773",Virginia
2471,Pettis,"$49,064","$38,580","16,212","$19,709","42,146",Missouri
2472,Castro,"$40,595","$36,402","2,588","$19,708","8,046",Texas
2473,Lincoln,"$51,875","$41,910","1,845","$19,703","5,442",Colorado
2474,Burke,"$49,127","$37,263","34,664","$19,701","90,591",North Carolina
2475,Audrain,"$53,564","$43,013","9,327","$19,687","25,584",Missouri
2476,Russell,"$42,730","$36,143","21,142","$19,678","55,544",Alabama
2477,Miller,"$41,058","$32,260","2,458","$19,674","6,054",Georgia
2478,Caldwell,"$51,289","$44,152","11,593","$19,673","38,465",Texas
2479,Crittenden,"$48,372","$37,751","18,309","$19,665","50,447",Arkansas
2480,Montmorency,"$42,632","$35,261","4,128","$19,661","9,598",Michigan
2481,Greene,"$48,011","$38,413","16,603","$19,652","42,580",Arkansas
2482,Monroe,"$44,907","$37,595","17,523","$19,643","44,857",Tennessee
2483,Appling,"$44,610","$36,786","6,934","$19,643","18,354",Georgia
2484,Ogemaw,"$42,137","$34,619","8,998","$19,634","21,537",Michigan
2485,Hardin,"$52,144","$40,415","11,504","$19,626","31,886",Ohio
2486,Swain,"$51,589","$36,094","5,368","$19,626","14,017",North Carolina
2487,Danville City,"$40,768","$30,786","18,659","$19,626","42,996",Virginia
2488,Valencia,"$51,686","$42,506","26,894","$19,623","76,461",New Mexico
2489,Tyler,"$45,162","$39,940","8,224","$19,612","21,619",Texas
2490,LaRue,"$50,559","$39,753","5,221","$19,611","14,149",Kentucky
2491,Jefferson,"$56,195","$52,023","8,058","$19,598","26,389",Idaho
2492,Minidoka,"$49,733","$43,266","6,994","$19,597","20,104",Idaho
2493,Randolph,"$48,547","$37,276","11,163","$19,595","29,399",West Virginia
2494,Franklin City,"$43,780","$31,928","3,551","$19,588","8,539",Virginia
2495,Marshall,"$47,769","$37,319","5,970","$19,583","15,860",Oklahoma
2496,Cherokee,"$51,748","$39,746","7,936","$19,580","21,361",Kansas
2497,Marion,"$41,733","$32,888","12,700","$19,576","30,615",Alabama
2498,Lincoln,"$41,572","$36,498","13,045","$19,566","34,870",Mississippi
2499,Doña Ana,"$44,518","$37,933","73,797","$19,565","211,175",New Mexico
2500,Laclede,"$43,826","$39,013","13,912","$19,553","35,535",Missouri
2501,Rutherford,"$42,636","$36,334","27,214","$19,551","67,403",North Carolina
2502,Weakley,"$50,628","$35,273","13,797","$19,547","34,779",Tennessee
2503,Warren,"$43,922","$34,641","15,366","$19,531","39,861",Tennessee
2504,Grundy,"$47,000","$37,964","4,148","$19,527","10,282",Missouri
2505,Jones,"$43,888","$38,074","24,677","$19,519","68,174",Mississippi
2506,Mahnomen,"$47,781","$40,282","2,058","$19,517","5,475",Minnesota
2507,Polk,"$49,245","$39,512","11,937","$19,511","31,088",Missouri
2508,Alleghany,"$40,767","$35,170","4,793","$19,510","11,046",North Carolina
2509,Franklin,"$57,710","$55,177","23,445","$19,503","81,835",Washington
2510,Upshur,"$49,740","$39,381","9,011","$19,498","24,371",West Virginia
2511,Polk,"$45,690","$37,855","16,980","$19,498","45,620",Texas
2512,Whitfield,"$45,728","$40,471","34,450","$19,497","102,556",Georgia
2513,Wayne,"$46,749","$36,964","16,555","$19,497","42,007",West Virginia
2514,Chaves,"$48,169","$39,131","23,499","$19,492","65,627",New Mexico
2515,Barry,"$47,663","$38,710","13,464","$19,489","35,614",Missouri
2516,Alamosa,"$49,889","$34,520","5,891","$19,487","15,933",Colorado
2517,Chariton,"$51,356","$39,385","2,958","$19,481","7,730",Missouri
2518,Edmonson,"$47,637","$37,646","4,766","$19,481","12,148",Kentucky
2519,Sampson,"$43,557","$36,496","23,336","$19,479","63,687",North Carolina
2520,Crawford,"$46,113","$39,479","23,368","$19,477","61,796",Arkansas
2521,Fremont,"$51,964","$44,520","4,549","$19,475","13,088",Idaho
2522,Bollinger,"$45,273","$37,716","4,758","$19,470","12,408",Missouri
2523,Harrison,"$44,691","$37,739","3,515","$19,468","8,871",Missouri
2524,Union,"$45,143","$39,125","5,586","$19,464","15,138",Kentucky
2525,St. Helena,"$40,590","$33,143","4,130","$19,457","11,062",Louisiana
2526,Moniteau,"$59,253","$47,118","5,464","$19,451","15,657",Missouri
2527,Van Buren,"$41,019","$33,547","2,097","$19,450","5,562",Tennessee
2528,Johnson,"$41,981","$34,090","9,154","$19,445","23,377",Kentucky
2529,Simpson,"$47,303","$39,546","6,737","$19,441","17,443",Kentucky
2530,Columbia,"$47,472","$35,128","9,449","$19,439","24,512",Arkansas
2531,Scioto,"$49,280","$35,379","29,452","$19,437","78,952",Ohio
2532,Johnson,"$53,932","$42,364","1,926","$19,435","5,182",Nebraska
2533,Yakima,"$48,946","$43,506","79,679","$19,433","244,654",Washington
2534,Peach,"$52,500","$39,844","9,525","$19,431","27,481",Georgia
2535,Carroll,"$46,281","$40,160","4,269","$19,429","10,902",Kentucky
2536,Beaver,"$56,184","$46,660","2,112","$19,415","6,529",Utah
2537,Union,"$48,125","$35,828","8,532","$19,412","22,576",Louisiana
2538,Treutlen,"$46,282","$37,894","2,515","$19,410","6,817",Georgia
2539,Talladega,"$43,074","$35,439","31,486","$19,410","81,845",Alabama
2540,Brooks,"$46,973","$34,419","6,573","$19,409","15,885",Georgia
2541,Jackson,"$44,755","$36,356","13,288","$19,405","33,034",Ohio
2542,Meigs,"$47,672","$35,150","4,776","$19,403","11,706",Tennessee
2543,Putnam,"$44,309","$36,713","2,230","$19,397","4,944",Missouri
2544,Knox,"$45,208","$34,295","1,557","$19,396","3,731",Texas
2545,St. Landry,"$45,574","$35,503","30,935","$19,387","83,534",Louisiana
2546,Bradley,"$39,659","$30,409","4,789","$19,386","11,418",Arkansas
2547,Miller,"$44,911","$35,507","10,034","$19,385","24,863",Missouri
2548,Carroll,"$43,349","$32,853","12,572","$19,385","29,979",Virginia
2549,Perry,"$48,828","$41,446","13,793","$19,372","36,051",Ohio
2550,Johnson,"$37,119","$31,003","10,046","$19,366","25,655",Arkansas
2551,Coryell,"$56,459","$49,819","20,416","$19,357","75,966",Texas
2552,LaGrange,"$51,922","$47,617","11,833","$19,356","37,463",Indiana
2553,Titus,"$50,325","$42,939","10,725","$19,356","32,360",Texas
2554,Jefferson,"$48,562","$37,140","28,367","$19,353","75,782",Arkansas
2555,Limestone,"$49,121","$38,823","7,929","$19,352","23,417",Texas
2556,Pike,"$42,210","$32,961","26,362","$19,351","64,473",Kentucky
2557,Highland,"$46,643","$39,091","16,918","$19,348","43,395",Ohio
2558,Bourbon,"$50,231","$39,591","5,636","$19,340","15,004",Kansas
2559,Nottoway,"$52,837","$36,607","5,673","$19,337","15,862",Virginia
2560,Mecosta,"$50,330","$39,470","15,536","$19,336","43,007",Michigan
2561,Hampton,"$42,588","$34,233","7,470","$19,332","20,840",South Carolina
2562,Shelby,"$48,274","$35,938","2,597","$19,331","6,274",Missouri
2563,Fulton,"$41,720","$35,522","5,140","$19,326","12,266",Arkansas
2564,Lewis,"$49,043","$42,071","3,936","$19,317","10,193",Missouri
2565,Columbia,"$45,003","$38,070","23,604","$19,306","67,568",Florida
2566,Parmer,"$47,096","$44,943","3,215","$19,304","10,159",Texas
2567,Fleming,"$45,490","$32,495","5,539","$19,304","14,435",Kentucky
2568,Bedford,"$47,774","$40,759","16,402","$19,303","45,339",Tennessee
2569,Clarke,"$50,744","$33,060","41,358","$19,295","118,864",Georgia
2570,Hickman,"$46,549","$34,029","1,983","$19,292","4,834",Kentucky
2571,Chambers,"$41,040","$32,402","13,722","$19,291","34,145",Alabama
2572,Hot Spring,"$49,541","$41,193","12,231","$19,286","33,182",Arkansas
2573,,,,,"$19,280",,
2574,Sullivan,"$44,783","$36,676","2,640","$19,279","6,611",Missouri
2575,Columbus,"$45,865","$35,761","21,758","$19,275","57,761",North Carolina
2576,Union,"$44,772","$38,373","10,322","$19,273","27,338",Mississippi
2577,Comanche,"$45,503","$36,020","5,162","$19,268","13,829",Texas
2578,Adair,"$54,609","$34,733","9,648","$19,258","25,573",Missouri
2579,Nowata,"$48,694","$39,430","4,050","$19,256","10,580",Oklahoma
2580,Butler,"$43,135","$34,969","17,085","$19,246","42,946",Missouri
2581,Yuba,"$50,648","$44,902","24,300","$19,244","72,574",California
2582,Chowan,"$43,512","$34,420","5,945","$19,240","14,782",North Carolina
2583,Jay,"$47,376","$40,235","8,179","$19,236","21,333",Indiana
2584,Caldwell,"$46,628","$34,357","31,417","$19,228","82,407",North Carolina
2585,Jim Hogg,"$42,775","$36,121","1,805","$19,212","5,271",Texas
2586,Carter,"$44,210","$36,406","10,319","$19,204","27,493",Kentucky
2587,Jackson,"$45,490","$37,388","6,090","$19,188","16,217",Louisiana
2588,Sanders,"$39,650","$32,881","5,149","$19,188","11,400",Montana
2589,Gordon,"$48,810","$40,926","19,066","$19,177","55,409",Georgia
2590,Camp,"$45,781","$37,079","4,475","$19,176","12,415",Texas
2591,Idaho County,"$44,962","$37,349","6,534","$19,168","16,269",Idaho
2592,Payette,"$51,998","$43,649","8,056","$19,165","22,629",Idaho
2593,Fannin,"$40,855","$34,239","9,940","$19,164","23,614",Georgia
2594,Bladen,"$43,210","$30,164","14,256","$19,154","34,969",North Carolina
2595,Laurens,"$44,778","$37,383","25,184","$19,153","66,457",South Carolina
2596,Alcorn,"$43,320","$33,600","14,679","$19,145","37,159",Mississippi
2597,Logan,"$47,378","$36,590","10,912","$19,143","26,822",Kentucky
2598,Blaine,"$45,625","$42,917",249,"$19,141",586,Nebraska
2599,Lawrence,"$47,649","$37,368","15,862","$19,136","41,927",Tennessee
2600,Franklin,"$43,053","$36,766","6,769","$19,135","18,063",Arkansas
2601,Polk,"$38,275","$32,835","8,069","$19,116","20,540",Arkansas
2602,Sevier,"$53,997","$46,229","7,146","$19,115","20,798",Utah
2603,Grayson,"$41,216","$32,399","9,897","$19,115","25,833",Kentucky
2604,Cleburne,"$46,069","$38,019","5,601","$19,108","14,945",Alabama
2605,Wise,"$46,628","$36,218","15,406","$19,107","41,154",Virginia
2606,Iron,"$44,069","$36,387","4,126","$19,101","10,505",Missouri
2607,McIntosh,"$44,470","$36,096","8,092","$19,100","20,358",Oklahoma
2608,Houston,"$46,557","$33,119","7,889","$19,090","23,365",Texas
2609,Woodruff,"$36,902","$28,259","3,070","$19,087","7,180",Arkansas
2610,Allen,"$49,378","$40,008","8,061","$19,086","20,123",Kentucky
2611,Webster,"$51,458","$35,718","1,129","$19,082","2,769",Georgia
2612,Otero,"$41,943","$33,848","7,427","$19,078","18,817",Colorado
2613,Del Norte,"$51,470","$37,909","9,593","$19,072","28,357",California
2614,Isabella,"$51,563","$36,372","24,817","$19,061","70,400",Michigan
2615,Lawrence,"$47,950","$39,334","14,817","$19,060","38,488",Missouri
2616,Warren,"$44,587","$34,285","7,731","$19,052","20,792",North Carolina
2617,Logan,"$46,489","$34,996","8,233","$19,046","22,221",Arkansas
2618,Jefferson,"$40,847","$34,701","2,456","$19,042","6,457",Oklahoma
2619,Schley,"$52,391","$38,425","1,829","$19,037","5,017",Georgia
2620,Union,"$41,390","$32,556","11,854","$19,037","28,594",South Carolina
2621,Hardy,"$43,097","$32,723","5,020","$19,032","13,922",West Virginia
2622,Charles Mix,"$51,780","$40,102","3,191","$19,030","9,176",South Dakota
2623,Wilkes,"$42,083","$33,159","27,512","$19,029","69,184",North Carolina
2624,Lamar,"$42,470","$36,028","6,084","$19,026","14,396",Alabama
2625,Montgomery,"$39,469","$31,345","3,873","$19,021","9,387",Arkansas
2626,Gallatin,"$48,984","$43,793","2,995","$19,020","8,525",Kentucky
2627,Grant,"$47,832","$39,654","7,340","$19,018","22,113",Louisiana
2628,Carter,"$41,010","$31,842","24,079","$19,018","57,438",Tennessee
2629,Seward,"$52,529","$50,185","7,429","$19,015","23,146",Kansas
2630,Red River,"$42,371","$31,712","5,052","$19,014","12,709",Texas
2631,Osceola,"$47,839","$43,891","90,413","$19,007","279,837",Florida
2632,Saline,"$46,731","$39,519","8,764","$19,006","23,324",Missouri
2633,Ohio County,"$44,200","$40,830","8,715","$19,005","23,955",Kentucky
2634,Hall,"$45,593","$33,006","1,177","$19,004","3,310",Texas
2635,Nolan,"$46,282","$36,806","5,527","$19,002","15,087",Texas
2636,Evans,"$46,369","$36,788","4,067","$18,998","10,902",Georgia
2637,Winston,"$41,113","$32,900","9,489","$18,995","24,342",Alabama
2638,Oceana,"$47,419","$40,023","9,537","$18,986","26,456",Michigan
2639,Clarke,"$45,518","$29,357","9,631","$18,979","25,573",Alabama
2640,Ouachita,"$42,354","$32,015","10,733","$18,975","25,651",Arkansas
2641,Wayne,"$39,465","$33,159","5,589","$18,970","13,437",Missouri
2642,Montcalm,"$47,435","$40,451","23,400","$18,969","63,234",Michigan
2643,Coleman,"$37,887","$31,373","3,478","$18,967","8,744",Texas
2644,Heard,"$49,381","$39,909","4,321","$18,964","11,708",Georgia
2645,Crosby,"$42,379","$38,187","2,164","$18,959","6,056",Texas
2646,Bienville,"$42,271","$31,543","5,668","$18,958","14,229",Louisiana
2647,Wyandotte,"$47,025","$39,402","57,291","$18,957","158,348",Kansas
2648,Fremont,"$48,623","$39,943","16,938","$18,954","46,850",Colorado
2649,Rhea,"$46,526","$36,741","12,096","$18,952","32,080",Tennessee
2650,Prowers,"$44,481","$34,391","4,935","$18,941","12,473",Colorado
2651,Petersburg City,"$40,559","$34,424","12,456","$18,936","32,326",Virginia
2652,Scott,"$42,333","$37,448","4,324","$18,934","11,111",Arkansas
2653,Tift,"$41,712","$34,591","13,691","$18,933","40,537",Georgia
2654,McDowell,"$45,874","$35,297","17,252","$18,932","44,963",North Carolina
2655,Wayne,"$38,502","$29,925","8,105","$18,928","20,675",Mississippi
2656,Oneida,"$46,802","$40,842","1,579","$18,920","4,257",Idaho
2657,Kleberg,"$48,275","$40,566","11,241","$18,918","32,052",Texas
2658,Habersham,"$48,610","$39,306","14,805","$18,910","43,181",Georgia
2659,Mississippi County,"$42,286","$36,428","17,058","$18,905","45,912",Arkansas
2660,Bamberg,"$43,317","$31,483","5,883","$18,902","15,814",South Carolina
2661,Lowndes,"$49,499","$37,365","39,722","$18,897","111,334",Georgia
2662,Haskell,"$46,474","$35,334","4,713","$18,896","12,849",Oklahoma
2663,Franklin,"$46,536","$36,415","12,437","$18,888","31,666",Alabama
2664,Bingham,"$54,323","$47,941","14,650","$18,872","45,485",Idaho
2665,Randolph,"$45,492","$34,418","7,244","$18,871","17,896",Arkansas
2666,Marion,"$47,360","$38,719","7,368","$18,865","19,943",Kentucky
2667,Montgomery,"$43,038","$31,830","10,610","$18,865","27,707",North Carolina
2668,Newton,"$44,720","$39,190","7,931","$18,864","21,645",Mississippi
2669,Barnwell,"$43,818","$35,231","8,416","$18,862","22,399",South Carolina
2670,Patrick,"$42,547","$34,864","7,846","$18,860","18,445",Virginia
2671,Allen,"$48,306","$38,429","8,099","$18,857","25,674",Louisiana
2672,Noble,"$43,146","$38,290","4,883","$18,853","14,639",Ohio
2673,Decatur,"$46,275","$36,326","3,106","$18,845","8,308",Iowa
2674,Ware,"$46,455","$34,572","13,460","$18,842","36,008",Georgia
2675,Yuma,"$44,302","$41,595","70,122","$18,840","199,026",Arizona
2676,Gratiot,"$50,893","$40,359","14,787","$18,836","42,148",Michigan
2677,Elbert,"$41,387","$35,817","7,635","$18,835","19,907",Georgia
2678,Motley,"$40,000","$35,845",433,"$18,828","1,182",Texas
2679,Meriwether,"$43,597","$37,333","8,135","$18,821","21,695",Georgia
2680,Bristol City,"$41,025","$32,221","7,674","$18,820","17,713",Virginia
2681,Chester,"$52,983","$41,875","5,936","$18,817","17,151",Tennessee
2682,Meigs,"$44,783","$35,469","9,560","$18,816","23,659",Ohio
2683,Hale,"$38,048","$30,051","5,969","$18,812","15,594",Alabama
2684,Cherokee,"$46,797","$38,378","17,422","$18,801","50,865",Texas
2685,Lamar,"$49,741","$41,016","6,393","$18,800","18,139",Georgia
2686,Taylor,"$46,250","$36,384","9,708","$18,790","24,585",Kentucky
2687,Martin,"$44,633","$35,111","9,444","$18,783","24,147",North Carolina
2688,Van Buren,"$42,607","$32,517","7,063","$18,782","17,147",Arkansas
2689,Washington County,"$43,636","$34,936","5,056","$18,779","12,958",North Carolina
2690,Colleton,"$41,716","$33,233","14,905","$18,769","38,453",South Carolina
2691,Luce,"$45,950","$39,469","2,427","$18,768","6,550",Michigan
2692,Johnson,"$50,796","$40,760","4,362","$18,763","12,665",Illinois
2693,Charlotte,"$43,384","$33,015","4,751","$18,762","12,478",Virginia
2694,Sabine,"$37,827","$32,963","4,161","$18,762","10,604",Texas
2695,Hoke,"$53,584","$45,489","16,161","$18,761","48,842",North Carolina
2696,Fayette,"$46,311","$37,391","9,536","$18,757","24,112",Indiana
2697,Madison,"$43,373","$35,771","6,048","$18,754","15,671",Arkansas
2698,Yalobusha,"$46,360","$32,930","4,797","$18,750","12,554",Mississippi
2699,Lamb,"$45,304","$36,727","4,803","$18,744","13,921",Texas
2700,Trinity,"$44,343","$34,555","5,091","$18,730","14,460",Texas
2701,Webster,"$45,647","$33,524","4,084","$18,728","10,129",Mississippi
2702,Wilkinson,"$39,966","$33,618","3,496","$18,717","9,653",Mississippi
2703,Toombs,"$46,442","$31,189","10,310","$18,716","27,229",Georgia
2704,Haywood,"$43,094","$34,542","7,099","$18,714","18,531",Tennessee
2705,Howard,"$40,970","$35,879","5,208","$18,707","13,748",Arkansas
2706,Cross,"$48,100","$38,085","6,818","$18,701","17,760",Arkansas
2707,Nevada County,"$42,500","$33,694","3,622","$18,695","8,948",Arkansas
2708,San Augustine,"$41,014","$28,390","3,275","$18,695","8,855",Texas
2709,Clay,"$43,598","$34,002","5,649","$18,694","13,703",Alabama
2710,Neshoba,"$41,449","$37,050","10,829","$18,693","29,655",Mississippi
2711,Fayette,"$42,182","$33,771","17,250","$18,685","45,889",West Virginia
2712,Bailey,"$48,681","$46,139","2,358","$18,676","7,121",Texas
2713,Torrance,"$45,409","$31,161","5,638","$18,675","16,185",New Mexico
2714,Richland,"$45,070","$36,835","7,619","$18,669","20,816",Louisiana
2715,Crockett,"$43,693","$36,066","5,619","$18,664","14,576",Tennessee
2716,Lafayette,"$52,627","$39,722","2,710","$18,660","8,745",Florida
2717,Pike,"$52,000","$39,850","6,559","$18,650","18,579",Missouri
2718,Screven,"$46,591","$34,848","5,165","$18,640","14,455",Georgia
2719,Braxton,"$43,884","$31,848","5,780","$18,635","14,524",West Virginia
2720,Bullock,"$44,933","$32,033","3,741","$18,628","10,746",Alabama
2721,Laurens,"$43,935","$34,793","17,632","$18,625","48,203",Georgia
2722,Baldwin,"$48,719","$32,751","16,338","$18,622","46,018",Georgia
2723,Dougherty,"$38,145","$31,671","35,661","$18,619","94,220",Georgia
2724,Fulton,"$39,274","$33,582","2,744","$18,602","6,650",Kentucky
2725,Benton,"$42,436","$31,060","3,195","$18,597","8,682",Mississippi
2726,Cook,"$43,780","$34,985","6,308","$18,592","17,066",Georgia
2727,Bulloch,"$52,100","$35,840","25,254","$18,587","71,190",Georgia
2728,Claiborne,"$42,766","$33,229","12,553","$18,583","31,915",Tennessee
2729,Cherokee,"$49,379","$37,260","16,875","$18,582","47,488",Oklahoma
2730,Harmon,"$36,597","$26,688","1,106","$18,582","2,894",Oklahoma
2731,Stone,"$50,491","$42,963","5,871","$18,576","17,854",Mississippi
2732,Pontotoc,"$50,403","$39,899","9,937","$18,576","30,207",Mississippi
2733,Orange,"$46,454","$38,826","7,688","$18,576","19,829",Indiana
2734,Bacon,"$48,115","$33,757","4,036","$18,558","11,159",Georgia
2735,Stephens,"$46,972","$37,898","9,227","$18,557","25,910",Georgia
2736,Worth,"$44,411","$35,792","7,851","$18,551","21,670",Georgia
2737,Gulf,"$44,574","$40,455","5,414","$18,546","15,793",Florida
2738,St. Francois,"$46,537","$37,238","24,654","$18,544","65,602",Missouri
2739,Dent,"$42,356","$36,311","5,858","$18,544","15,649",Missouri
2740,Pushmataha,"$38,834","$29,897","4,900","$18,542","11,406",Oklahoma
2741,Houston,"$44,637","$35,271","3,423","$18,539","8,375",Tennessee
2742,Clay,"$41,121","$31,502","6,814","$18,509","15,790",Arkansas
2743,Bland,"$48,906","$42,139","2,480","$18,501","6,795",Virginia
2744,Winston,"$40,589","$30,821","7,635","$18,501","19,052",Mississippi
2745,Bethel Census Area,"$53,224","$51,689","4,358","$18,497","17,356",Alaska
2746,Anderson,"$52,077","$40,653","16,378","$18,495","58,262",Texas
2747,Fayette,"$44,034","$33,838","6,956","$18,494","17,110",Alabama
2748,Coosa,"$46,777","$37,277","4,506","$18,493","11,198",Alabama
2749,Tippah,"$41,358","$34,636","8,472","$18,493","22,080",Mississippi
2750,Union,"$48,350","$38,902","1,606","$18,472","4,458",New Mexico
2751,Lincoln,"$42,293","$35,487","8,416","$18,458","21,660",West Virginia
2752,Benton,"$39,526","$33,033","6,892","$18,456","16,398",Tennessee
2753,Buena Vista City,"$49,429","$36,591","2,738","$18,453","6,699",Virginia
2754,Reynolds,"$39,632","$34,496","2,664","$18,449","6,661",Missouri
2755,Knott,"$43,684","$33,889","5,892","$18,448","16,217",Kentucky
2756,Greene,"$50,781","$40,853","7,104","$18,441","21,382",North Carolina
2757,Suwannee,"$43,716","$35,698","15,712","$18,431","42,865",Florida
2758,Kings,"$50,489","$48,133","40,785","$18,429","151,806",California
2759,McNairy,"$41,545","$33,452","9,736","$18,428","26,066",Tennessee
2760,Attala,"$41,356","$31,641","7,185","$18,422","19,383",Mississippi
2761,Crawford,"$44,985","$35,897","9,485","$18,415","24,711",Missouri
2762,Hyde,"$42,048","$42,279","2,148","$18,408","5,771",North Carolina
2763,Hidalgo,"$37,432","$34,080","1,837","$18,392","4,834",New Mexico
2764,Jackson,"$42,800","$33,386","4,493","$18,387","11,527",Tennessee
2765,Hickman,"$47,683","$39,581","8,846","$18,383","24,428",Tennessee
2766,El Paso,"$44,619","$40,157","255,573","$18,379","813,015",Texas
2767,Wyoming County,"$47,602","$34,454","9,101","$18,377","23,479",West Virginia
2768,Putnam,"$40,802","$32,497","28,047","$18,377","73,683",Florida
2769,Pike,"$37,440","$32,206","4,325","$18,377","11,250",Arkansas
2770,Gooding,"$45,093","$37,050","5,552","$18,373","15,278",Idaho
2771,Lowndes,"$40,783","$26,230","4,212","$18,368","11,086",Alabama
2772,Overton,"$43,587","$34,604","8,815","$18,347","22,109",Tennessee
2773,Cherokee,"$43,178","$34,432","10,722","$18,340","27,243",North Carolina
2774,Tishomingo,"$40,949","$32,592","7,643","$18,338","19,582",Mississippi
2775,Polk,"$48,675","$39,208","14,645","$18,336","41,308",Georgia
2776,Ottawa,"$44,106","$36,473","12,134","$18,331","32,029",Oklahoma
2777,Carroll,"$45,351","$35,049","11,022","$18,330","28,525",Tennessee
2778,Seminole,"$42,751","$33,819","9,327","$18,321","25,443",Oklahoma
2779,Copiah,"$45,769","$35,421","9,897","$18,318","29,204",Mississippi
2780,Simpson,"$44,651","$38,362","9,786","$18,314","27,439",Mississippi
2781,Levy,"$41,278","$34,348","15,582","$18,304","40,289",Florida
2782,Clay,"$39,169","$30,764","7,750","$18,273","20,539",Mississippi
2783,Hughes,"$44,973","$34,619","4,920","$18,268","13,838",Oklahoma
2784,Menard,"$41,250","$31,215",871,"$18,253","2,213",Texas
2785,Carter,"$40,597","$30,962","2,426","$18,245","6,260",Missouri
2786,Cherokee,"$43,439","$34,202","20,762","$18,240","55,587",South Carolina
2787,Adams,"$43,771","$35,678","10,816","$18,235","28,406",Ohio
2788,Franklin,"$45,934","$34,830","8,618","$18,234","21,998",Georgia
2789,Perry,"$40,814","$33,528","10,801","$18,224","28,488",Kentucky
2790,Dickenson,"$41,314","$33,318","6,352","$18,215","15,749",Virginia
2791,Irwin,"$50,125","$40,771","3,277","$18,207","9,571",Georgia
2792,White,"$42,357","$34,474","9,729","$18,205","25,986",Tennessee
2793,Pershing,"$56,250","$52,101","2,091","$18,203","6,752",Nevada
2794,Marion,"$42,333","$34,494","7,036","$18,188","16,605",Arkansas
2795,Crisp,"$42,934","$35,240","8,832","$18,185","23,521",Georgia
2796,Pike,"$41,288","$34,841","14,614","$18,183","40,269",Mississippi
2797,Merced,"$47,456","$42,591","75,409","$18,177","258,707",California
2798,Bronx,"$38,843","$34,388","474,842","$18,171","1,397,315",New York
2799,Monroe,"$45,361","$36,308","13,960","$18,167","36,652",Mississippi
2800,Benson,"$40,821","$36,491","2,291","$18,162","6,721",North Dakota
2801,Schuyler,"$45,269","$34,688","1,773","$18,160","4,397",Missouri
2802,Dallas,"$44,382","$40,120","6,443","$18,155","16,733",Missouri
2803,DeKalb,"$45,213","$37,851","24,923","$18,149","71,076",Alabama
2804,Clare,"$40,297","$32,668","13,215","$18,148","30,823",Michigan
2805,Le Flore,"$44,408","$36,542","18,412","$18,141","50,062",Oklahoma
2806,Prairie,"$43,408","$34,855","3,737","$18,137","8,573",Arkansas
2807,Butler,"$45,314","$35,430","5,124","$18,136","12,746",Kentucky
2808,Abbeville,"$47,211","$35,947","9,809","$18,134","25,233",South Carolina
2809,Sequoyah,"$42,828","$35,742","15,624","$18,131","41,834",Oklahoma
2810,Marion,"$38,941","$29,400","9,985","$18,126","26,674",Mississippi
2811,Dodge,"$50,116","$37,292","8,186","$18,114","21,502",Georgia
2812,Juab,"$57,207","$55,247","3,016","$18,108","10,300",Utah
2813,Itawamba,"$45,142","$36,073","8,859","$18,106","23,366",Mississippi
2814,Socorro,"$44,076","$34,036","5,329","$18,104","17,756",New Mexico
2815,Breckinridge,"$46,870","$38,907","7,213","$18,101","20,059",Kentucky
2816,Vinton,"$41,674","$36,705","5,191","$18,101","13,365",Ohio
2817,Osceola,"$45,839","$37,788","8,987","$18,099","23,404",Michigan
